,id,shortDescription,merchantId,gender,merchandiseLabel,merchandiseLabelField,isCustomizable,availableSizes,stockTotal,url,promotionLabel,type,brand.id,brand.name,images.cutOut,images.model,images.all,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.finalPrice,priceInfo.initialPrice,priceInfo.currencyCode,priceInfo.isOnSale,priceInfo.discountLabel,priceInfo.installmentsLabel,properties.rankingTrackingId,properties.isLimoncello
0,14610756,Samba Classic low-top sneakers,11218,unisex,Conscious,NoTag,False,,80,/ge/shopping/women/adidas-samba-classic-low-top-sneakers-item-14610756.aspx?storeid=11218,,Product,214504,adidas,https://cdn-images.farfetch-contents.com/14/61/07/56/14610756_22559346_480.jpg,https://cdn-images.farfetch-contents.com/14/61/07/56/14610756_22559347_480.jpg,,$64,$64,64.0,64.0,USD,False,,,FiPGpJA9XW+0nL,
1,14164674,"Air Mag ""Back to the Future"" sneakers",11218,men,,NoTag,False,,1,/ge/shopping/men/nike-air-mag-back-to-the-future-sneakers-item-14164674.aspx?storeid=11218,,Product,1664,Nike,https://cdn-images.farfetch-contents.com/14/16/46/74/14164674_21073031_480.jpg,https://cdn-images.farfetch-contents.com/14/16/46/74/14164674_21073032_480.jpg,,"$39,323","$39,323",39323.0,39323.0,USD,False,,,FiPGpJA9XW+0nL,
2,15624504,x Dior Air Jordan 1 High sneakers,11218,men,,NoTag,False,,6,/ge/shopping/women/jordan-x-dior-air-jordan-1-high-sneakers-item-15624504.aspx?storeid=11218,,Product,6687111,Jordan,https://cdn-images.farfetch-contents.com/15/62/45/04/15624504_28291154_480.jpg,https://cdn-images.farfetch-contents.com/15/62/45/04/15624504_28291155_480.jpg,,"$13,145","$13,145",13145.0,13145.0,USD,False,,,FiPGpJA9XW+0nL,
3,16652247,Samba OG sneakers,11218,men,New Season,NewSeason,False,,197,/ge/shopping/men/adidas-samba-og-sneakers-item-16652247.aspx?storeid=11218,,Product,214504,adidas,https://cdn-images.farfetch-contents.com/16/65/22/47/16652247_32587810_480.jpg,https://cdn-images.farfetch-contents.com/16/65/22/47/16652247_32587808_480.jpg,,$139,$139,139.0,139.0,USD,False,,,FiPGpJA9XW+0nL,
4,16110516,Icon snow boots,13646,unisex,,NoTag,False,,930,/ge/shopping/women/moon-boot-icon-snow-boots-item-16110516.aspx?storeid=13646,,Product,153129,Moon Boot,https://cdn-images.farfetch-contents.com/16/11/05/16/16110516_30663899_480.jpg,https://cdn-images.farfetch-contents.com/16/11/05/16/16110516_30669800_480.jpg,,$165,$165,165.0,165.0,USD,False,,,FiPGpJA9XW+0nL,
5,18593429,Campo low-top lace-up sneakers,13537,women,Conscious,NoTag,False,,2469,/ge/shopping/women/veja-campo-low-top-lace-up-sneakers-item-18593429.aspx?storeid=13537,,Product,164,VEJA,https://cdn-images.farfetch-contents.com/18/59/34/29/18593429_41090744_480.jpg,https://cdn-images.farfetch-contents.com/18/59/34/29/18593429_41090741_480.jpg,,$175,$175,175.0,175.0,USD,False,,,FiPGpJA9XW+0nL,
6,16088773,Chuck Taylor 70 high-top sneakers,10479,unisex,,NoTag,False,,4886,/ge/shopping/women/comme-des-garcons-play-x-converse-chuck-taylor-70-high-top-sneakers-item-16088773.aspx?storeid=10479,,Product,15429159,Comme Des Garçons Play x Converse,https://cdn-images.farfetch-contents.com/16/08/87/73/16088773_30341948_480.jpg,https://cdn-images.farfetch-contents.com/16/08/87/73/16088773_30343792_480.jpg,,$149,$149,149.0,149.0,USD,False,,,FiPGpJA9XW+0nL,
7,16291305,"Dunk Low ""Black/White"" sneakers",11218,women,,NoTag,False,,115,/ge/shopping/women/nike-dunk-low-blackwhite-sneakers-item-16291305.aspx?storeid=11218,,Product,1664,Nike,https://cdn-images.farfetch-contents.com/16/29/13/05/16291305_31975840_480.jpg,https://cdn-images.farfetch-contents.com/16/29/13/05/16291305_31977378_480.jpg,,$214,$214,214.0,214.0,USD,False,,,FiPGpJA9XW+0nL,
8,17755852,Icon Low 2 boots,13646,unisex,,NoTag,False,,132,/ge/shopping/women/moon-boot-icon-low-2-boots-item-17755852.aspx?storeid=13646,,Product,153129,Moon Boot,https://cdn-images.farfetch-contents.com/17/75/58/52/17755852_38067059_480.jpg,https://cdn-images.farfetch-contents.com/17/75/58/52/17755852_38065903_480.jpg,,$150,$150,150.0,150.0,USD,False,,,FiPGpJA9XW+0nL,
9,19450919,x Cactus Plant Flea Market 1 sneakers,11218,men,New Season,NewSeason,False,,8,/ge/shopping/men/nike-x-cactus-plant-flea-market-1-sneakers-item-19450919.aspx?storeid=11218,,Product,1664,Nike,https://cdn-images.farfetch-contents.com/19/45/09/19/19450919_43299422_480.jpg,https://cdn-images.farfetch-contents.com/19/45/09/19/19450919_43299421_480.jpg,,$545,$545,545.0,545.0,USD,False,,,FiPGpJA9XW+0nL,
10,17961415,Ami de Coeur organic-cotton T-shirt,11410,unisex,Conscious,NoTag,False,"[{'scaleId': 114, 'size': 'XXS'}, {'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XXXL'}]",745,/ge/shopping/men/ami-paris-ami-de-coeur-organic-cotton-t-shirt-item-17961415.aspx?storeid=11410,,Product,228660,AMI Paris,https://cdn-images.farfetch-contents.com/17/96/14/15/17961415_38472409_480.jpg,https://cdn-images.farfetch-contents.com/17/96/14/15/17961415_38470425_480.jpg,,$133,$133,133.0,133.0,USD,False,,,FiPGpJA9XW+0nL,
11,18786519,Samba OG sneakers,11218,men,New Season,NewSeason,False,,216,/ge/shopping/men/adidas-samba-og-sneakers-item-18786519.aspx?storeid=11218,,Product,214504,adidas,https://cdn-images.farfetch-contents.com/18/78/65/19/18786519_40721703_480.jpg,https://cdn-images.farfetch-contents.com/18/78/65/19/18786519_40721698_480.jpg,,$123,$123,123.0,123.0,USD,False,,,FiPGpJA9XW+0nL,
12,19128949,Ami de Coeur T-shirt,12667,unisex,Conscious,NoTag,False,"[{'scaleId': 114, 'size': 'XXS'}, {'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}]",523,/ge/shopping/men/ami-paris-ami-de-coeur-t-shirt-item-19128949.aspx?storeid=12667,,Product,228660,AMI Paris,https://cdn-images.farfetch-contents.com/19/12/89/49/19128949_42124879_480.jpg,https://cdn-images.farfetch-contents.com/19/12/89/49/19128949_42124876_480.jpg,,$106,$106,106.0,106.0,USD,False,,,FiPGpJA9XW+0nL,
13,18999360,Esplar low-top sneakers,9479,women,New Season,NewSeason,False,,1373,/ge/shopping/women/veja-esplar-low-top-sneakers-item-18999360.aspx?storeid=9479,,Product,164,VEJA,https://cdn-images.farfetch-contents.com/18/99/93/60/18999360_41459689_480.jpg,https://cdn-images.farfetch-contents.com/18/99/93/60/18999360_41459686_480.jpg,,$161,$161,161.0,161.0,USD,False,,,FiPGpJA9XW+0nL,
14,19517753,Samba Vegan sneakers ,11218,unisex,New Season,NewSeason,False,,111,/ge/shopping/women/adidas-samba-vegan-sneakers-item-19517753.aspx?storeid=11218,,Product,214504,adidas,https://cdn-images.farfetch-contents.com/19/51/77/53/19517753_43521850_480.jpg,https://cdn-images.farfetch-contents.com/19/51/77/53/19517753_43521857_480.jpg,,$112,$112,112.0,112.0,USD,False,,,FiPGpJA9XW+0nL,
15,16047155,logo-print pool slides,12592,men,,NoTag,False,,996,/ge/shopping/men/palm-angels-logo-print-pool-slides-item-16047155.aspx?storeid=12592,,Product,2186014,Palm Angels,https://cdn-images.farfetch-contents.com/16/04/71/55/16047155_30125113_480.jpg,https://cdn-images.farfetch-contents.com/16/04/71/55/16047155_30123721_480.jpg,,$153,$153,153.0,153.0,USD,False,,,FiPGpJA9XW+0nL,
16,19403279,high-top baseball boots,11935,men,New Season,NewSeason,False,,112,/ge/shopping/men/rick-owens-drkshdw-high-top-baseball-boots-item-19403279.aspx?storeid=11935,,Product,4752,Rick Owens DRKSHDW,https://cdn-images.farfetch-contents.com/19/40/32/79/19403279_43719525_480.jpg,https://cdn-images.farfetch-contents.com/19/40/32/79/19403279_43719522_480.jpg,,$678,$678,678.0,678.0,USD,False,,,FiPGpJA9XW+0nL,
